2308	215	2575	946	17096	5429	7781	928	1211	14545	8822	410	1170	13553	5510	1046	912	1149	16284	519	4371	20127	19644	1069	1915	3443	319	447	2124	715	44416	794	149974	3453	251	4782	1474	1132	14635	1229	2417	320	4194	6736	1739	575	3335	8692	412	2578	216	410834
2614	228	2726	1000	18576	5655	7781	1116	1440	15456	9901	410	1210	15078	5943	1145	1046	1149	17030	537	5529	21990	21076	1154	2003	3625	332	519	2259	747	47437	821	160185	3700	269	5148	1526	1181	16436	1450	2417	393	4399	7526	1848	605	3645	9276	483	2710	221	441897
2954	238	3018	1119	19536	6202	9784	1209	1523	16364	10566	442	1232	16422	6351	1270	1116	1341	18283	560	6185	23977	22297	1240	2260	3852	354	568	2456	819	51027	865	172256	3993	278	5512	1686	1321	18460	1727	2793	447	4678	8112	1856	628	4042	9639	514	2886	230	477507
3112	249	3112	1171	20752	6513	10538	1326	1660	17531	11485	442	1354	17887	6907	1388	1117	1693	19253	586	6968	26037	23279	1336	2469	4249	365	635	2722	819	54588	1081	183729	4230	293	5878	1794	1322	20303	1727	3067	536	4873	9055	2103	679	4509	10119	574	3068	239	511790
3346	261	3393	1228	21461	6893	11510	1479	1778	18494	12159	465	1396	19180	7435	1510	1275	1693	20014	616	7694	27338	24500	1427	2642	4456	377	699	2702	885	58151	1091	192262	4535	308	6250	1868	1371	22038	2349	3211	626	5165	9568	2207	711	5077	10434	577	3213	261	540714
3667	276	3542	1280	22204	7307	12035	1625	1875	19895	12452	499	1407	20852	7928	1587	1344	1963	20595	633	8225	28271	25183	1621	2781	4564	387	791	2836	929	61850	1245	200635	4839	331	6604	1970	1527	23219	2665	3320	730	5390	9782	2303	727	5274	10609	593	3341	270	567022
3870	281	3705	1410	23406	7696	13381	1758	1955	21019	13315	504	1426	22025	8359	1710	1390	2018	21016	698	8936	30294	26622	1621	2942	4759	394	814	2990	985	64584	1262	208488	5024	341	6975	2069	1584	24505	2665	3391	868	5606	10447	2363	748	5747	10635	611	3428	275	594165
4041	289	3809	1498	24544	7950	13989	1926	2058	21628	14578	511	1464	23248	8527	1899	1441	2048	21518	735	9472	33173	28042	1695	3087	4932	399	897	3134	922	68824	1345	215959	5195	364	7285	2184	1633	25612	3251	3553	988	5788	11161	2417	752	6182	10799	640	3555	282	622493
4307	297	3964	1569	26356	8280	14755	2014	2197	22511	14987	524	1473	24593	8960	1995	1504	2210	21951	770	10032	35778	29144	1809	3360	5070	404	901	3211	1139	71030	1484	222617	5484	392	7794	2263	1663	26841	3251	3656	1168	6051	11847	2548	759	6500	10942	702	3721	287	648390
4465	305	4237	1620	27578	8675	15884	2070	2350	23343	15669	530	1587	25734	9542	2141	1615	2435	22532	796	10784	38170	29966	1809	3624	5376	415	952	3214	1139	75317	1484	230506	5877	438	8414	2357	1736	28033	3529	3931	1311	6341	12501	2683	774	6889	11057	728	3875	296	678028
4557	314	4511	1695	29296	9047	16809	2317	2476	24759	17194	541	1609	27578	10154	2332	1730	2522	23118	827	11572	41168	31225	2070	3793	5596	422	1066	3524	1287	78467	1597	237492	6171	528	9107	2465	1785	29855	4177	4099	1411	6661	13078	2793	779	7491	11517	775	4053	305	711135
4788	319	4724	1744	30642	9440	17550	2538	2666	25492	17669	574	1655	29160	10641	2513	1821	2707	23580	847	12326	42657	32031	2209	3974	5784	426	1249	3626	1342	81420	1798	244369	6524	584	10222	2465	1844	31671	4491	4248	1542	6834	13443	2917	803	8053	11776	785	4199	309	738464
4978	324	4933	1781	31307	9730	17962	2538	2793	26314	18301	580	1668	30357	11211	2902	1905	2960	23928	867	12847	43750	32688	2356	4274	5920	433	1474	3728	1390	85301	1845	251013	6818	626	11602	2567	1910	32938	4706	4377	1635	7111	13719	3069	813	8542	11978	890	4346	313	763886
5163	326	5068	1973	33562	10112	19815	2745	2927	27059	19407	584	1672	31513	11688	3159	2048	3050	24523	875	13684	46442	33324	2470	4512	6083	433	1648	3830	1447	88722	1971	257399	7033	644	12919	2680	1957	33833	5090	4446	1685	7361	14630	3213	816	8990	12114	902	4499	317	793970
5404	334	5256	1990	35753	10473	20360	2931	3098	27869	19881	586	1736	33059	12097	3641	2164	3204	24854	888	14193	48637	34048	2567	4716	6312	437	1685	3937	1490	92387	1971	262032	7331	677	13725	2807	2004	35077	5500	4439	1755	7649	15325	3297	818	9630	12392	908	4625	443	820045
5692	340	5473	2276	37748	10891	22469	3200	3206	28309	21214	592	1766	35107	12438	3748	2331	3378	25258	907	14775	51348	35404	2722	4894	6516	439	1813	4081	1588	95914	2210	266291	7728	709	14117	2894	2059	36420	5841	4761	1858	8148	16084	3445	823	10266	12596	939	4845	447	849926
5899	342	5772	2599	39596	11278	23100	3308	3361	29648	21883	596	1836	36937	13039	3924	2721	3479	25739	937	15737	53755	36845	2942	5153	6787	442	2202	4208	1670	100025	2379	271788	8200	747	14694	3017	2127	38274	6256	4917	1956	8600	16913	3612	825	10998	12753	981	5052	453	881891
6092	344	6045	2810	41466	12256	23936	3442	3528	30533	22491	601	1870	39658	13681	4445	2959	3779	26140	965	16616	56039	38330	3185	5434	7022	444	2424	4398	1720	102196	2521	278456	8634	803	15169	3121	2177	39915	6699	5070	2040	9068	17678	3782	827	11594	12977	1010	5356	473	913856
6274	344	6286	2911	42432	12968	24583	3576	3699	30839	23222	605	1887	41777	14399	5092	3135	3915	26512	965	17766	57537	38789	3446	5718	7186	445	2719	4539	1797	105498	2660	287898	8929	867	15587	3194	2253	41460	7129	5253	2147	9369	18264	3948	843	12366	13319	1010	5687	491	944770
6475	346	6534	3001	43735	13441	25269	4034	3841	31532	23486	606	1897	43903	15012	5476	3277	4085	26773	1015	18581	58384	39540	3602	5911	7348	448	3030	4734	1864	109038	2726	293575	9339	942	15972	3254	2311	42784	7439	5498	2212	9667	18620	4123	851	12970	13521	1055	5912	502	970741
6621	350	6725	3069	45312	13879	25997	4162	3892	32138	24302	607	1897	45883	15961	5868	3473	4156	27068	1023	19487	60516	40034	3811	6094	7516	449	3358	4700	1938	111188	2825	297888	9782	991	16325	3281	2354	43695	7708	5613	2244	9964	20013	4236	855	13538	13686	1063	6081	520	995390
6820	356	6955	3127	46827	14316	26312	4575	3994	32848	24922	609	1952	48102	16588	6376	3652	4375	27286	1040	20113	62625	41166	4181	6342	7657	451	3517	4821	2010	113856	2974	300796	10144	1033	16769	3410	2385	45199	7927	5735	2313	10237	20705	4345	862	14339	13842	1095	6289	536	1019963
